s_id,s_nm,s_tenabili,s_wno,s_hh,s_pop,s_zno,s_addr,s_lat,s_lon
S14-188-33,"Mylai Balaji Nagar,Part,III,Madipakkam",Tenable,188,315,1104,14,"Mylai Balaji Nagar,Part,III,Madipakkam, Ward 188, PER UNGUDI, Chennai, Tamil Nadu, India",12.9545447,80.1933537
S14-188-24,"Mylai Balaji Nagar,Part,II,Madipakkam",Tenable,188,593,2166,14,"Mylai Balaji Nagar,Part,II,Madipakkam, Ward 188, PER UNGUDI, Chennai, Tamil Nadu, India",12.9571773,80.211138
S14-188-30,"Mylai Balaji Nagar,Part,IV,Madipakkam",Tenable,188,255,883,14,"Mylai Balaji Nagar,Part,IV,Madipakkam, Ward 188, PER UNGUDI, Chennai, Tamil Nadu, India",12.9571773,80.211138
S14-190-37,"Pallikaranai , Bharathidasan Street , Part,I",Tenable,190,407,1548,14,"Pallikaranai , Bharathidasan Street , Part,I, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-38,"Pallikaranai , Bharathidasan Street , Part,II",Tenable,190,78,297,14,"Pallikaranai , Bharathidasan Street , Part,II, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-39,Pallikaranai,Tenable,190,90,329,14,"Pallikaranai, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-40,"Pallikaranai , Bhavaniyamman Koil Street",Un-tenable,190,167,601,14,"Pallikaranai , Bhavaniyamman Koil Street, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-41,"Pallikaranai ,Kamarajar Street",Un-tenable,190,66,229,14,"Pallikaranai ,Kamarajar Street, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-42,"Pallikaranai , Karmel Street",Un-tenable,190,97,357,14,"Pallikaranai , Karmel Street, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-44,"Pallikaranai , Kannapiran Koil Street",Un-tenable,190,120,89,14,"Pallikaranai , Kannapiran Koil Street, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-46,"Pallikaranai , Thiruvalluvar Street",Un-tenable,190,40,150,14,"Pallikaranai , Thiruvalluvar Street, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-47,"Pallikaranai , Imanuvel Street",Un-tenable,190,76,285,14,"Pallikaranai , Imanuvel Street, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-48,"Pallikaranai , Moovendar Street",Un-tenable,190,172,690,14,"Pallikaranai , Moovendar Street, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-49,"Pallikaranai , Kovalur Nagar",Un-tenable,190,103,384,14,"Pallikaranai , Kovalur Nagar, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-190-50,"Pallikaranai, Ambedkar Street",Un-tenable,190,77,290,14,"Pallikaranai, Ambedkar Street, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
